B  E  A  R  D  .  P  -  W  S  .  B  O  M  B
U  S  T  O  O  .  A  -  A  P  .  P  -  -  A
G  Q  M  A  G  A  Z  -  N  E  .  M  E  L  D
.  .  .  R  S  S  .  -  T  E  W  .  -  -  T
-  -  -  -  -  -  -  .  -  -  -  -  -  -  T
A  -  E  .  -  -  -  -  -  O  -  -  -  R  -
C  -  W  .  S  T  A  R  .  .  H  I  M  .  .
E  -  C  H  .  E  M  I  R  S  .  L  E  A  K
.  .  A  A  S  .  .  C  O  P  Y  .  P  T  A
-  -  -  S  E  -  -  -  -  -  -  .  A  O  L
-  -  -  H  A  -  -  .  -  -  -  -  -  -  -
H  E  M  .  M  -  -  -  .  F  L  U  .  .  .
A  -  A  -  .  -  -  -  -  -  -  N  D  E  -
T  I  L  L  .  M  A  G  E  .  N  A  I  V  E
S  E  L  L  .  S  X  S  W  .  G  R  E  E  D
