T  A  C  O  .  C  O  M  E  B  Y  .  P  E  D
O  D  O  K  .  O  N  E  E  Y  U  .  N  N  E
F  A  M  E  .  B  A  C  K  U  P  P  I  G  N
U  M  P  .  E  R  I  C  .  .  .  A  L  A  S
.  .  E  D  G  A  R  A  L  L  A  N  I  O  E
A  S  T  R  O  .  .  .  E  O  N  .  P  E  R
W  H  E  E  .  .  E  S  T  A  T  E  .  .  .
L  E  S  S  T  H  A  N  P  L  E  A  S  E  D
.  .  .  S  H  O  O  T  S  .  .  S  P  A  R
S  O  P  .  I  O  U  .  .  .  D  I  A  R  Y
T  R  A  I  N  P  L  A  T  F  O  R  M  .  .
E  A  R  N  .  .  .  S  H  A  G  .  A  D  D
V  E  G  E  T  A  R  I  A  N  .  C  L  U  E
O  L  D  .  I  M  H  E  R  E  .  B  O  N  E
N  Y  E  .  E  X  I  T  E  D  .  S  T  E  M
